"rank","judul","tahun","episode","network","umur","sinopsis","genre","tags","rating","funfact"
"1","Move to Heaven","2021","10","Netflix","18+","Menceritakan kisah dari Han Geu-Roo yang menderita Sindrom Asperger atau gangguan spektrum autisme dan pamannya Jo Sang-Koo, mantan narapidana. Mereka berdua bertemu melalui kematian ayah Han Geu-Roo yang akhirnya menjalankan bisnis pembersihan trauma (trauma cleaner) bersama bernama Move to Heaven. Pekerjaan mereka adalah membersihkan tempat kejadian perkara dan mengatur barang-barang peninggalan orang yang telah tiada.","Life,  Drama,  Family ","Autism, Father-Son Relationship, Uncle-Nephew Relationship, Death Of A Parent, Savant Syndrome, Mourning, Tearjerker, Death, Ex-convict, Childhood Friends","9.2","Drama ini diadaptasi dari kisah nyata yaitu Sosok Kim Sae-Byul, orang pertama yang menjalani profesi penghapus trauma orang meninggal di Korea Selatan. Ia menawarkan jasa bersih-bersih rumah setelah dibunuh, bunuh diri, ataupun kematian tanpa pengawasan. Baik baru beberapa hari, minggu, hingga beberapa bulan sejak jasad ditemukan."
"2","Hospital Playlist","2020","12","tvN, Netflix ","15+","Kisah-kisah tentang orang-orang yang menjalani hari-harinya yang tampak biasa tetapi sebenarnya istimewa, di rumah sakit, tempat yang dikenal sebagai mikrokosmos kehidupan, di mana seseorang dilahirkan dan menemui ajalnya. Kelima dokter tersebut adalah teman lama 20 tahun yang memulai pendidikan sarjana mereka pada tahun 1999 di sekolah kedokteran yang sama dan sekarang adalah rekan kerja di rumah sakit yang sama dan memiliki band bersama.","Friendship,  Romance,  Life,  Medical ","Strong Friendship, Doctor, Multiple Mains, Slow Romance, Best Friends, Hospital, Slight Romance, Strong Female Lead, Nice Male Lead, Heartfelt","9.1","Nama para tokoh Hospital Playlist diambil dari nama pemain tim bisbol di Korea Selatan agar mudah diingat."
"3","Flower of Evil","2020","16","tvN, Netflix, Vidio, iQIYI, viu, Amazon Prime Vide","15+","Meskipun Baek Hee Sung menyembunyikan rahasia gelap seputar identitas aslinya, ia telah membangun kehidupan keluarga yang bahagia dan karier yang sukses. Dia adalah suami yang penuh kasih dan ayah yang menyayangi putrinya yang masih kecil. Tapi fasadnya yang sempurna mulai runtuh ketika istrinya, Cha Ji Won, seorang detektif pembunuhan, mulai menyelidiki serangkaian pembunuhan berantai dari 15 tahun yang lalu. Ji Won menyadari perubahan perilaku Hee Sung dan mulai bertanya-tanya apakah dia mungkin menyembunyikan sesuatu darinya.","Thriller,  Romance,  Crime,  Melodrama ","Married Couple, Deception, Suspense, Family Secret, Hidden Personality, Smart Female Lead, Antisocial Personality Disorder, Detective, Serial Killer, Investigation","9.1","Judul drama ini terinspirasi dari buku puisi Charles Baudelaire, berjudul Les Fleurs du mal yang jika diterjemahkan dalam Bahasa Inggris menjadi The Flowers of Evil. 

Drama ini juga diadaptasi ulang, lho oleh dua negara, yakni Filipina dan India!"
"4","My Mister","2018","16","tvN, Netflix, Vidio, iQIYI, Viu","15+","Park Dong Hoon adalah seorang insinyur paruh baya yang menikah dengan pengacara Kang Yoon Hee. Namun, hidupnya tidak begitu bahagia karena dia memiliki dua saudara lelaki yang menganggur, Sang Hoon dan Gi Hoon, yang bergantung padanya. Selain itu, istrinya diam-diam berselingkuh dengan CEO Do Joon Yeong, junior kuliah Dong Hoon tetapi bos saat ini.","Business,  Psychological,  Life,  Drama,  Family ","Nice Male Lead, Strong Female Lead, Hardship, Smart Female Lead, Healing, Depression, Poor Female Lead, Workplace, Age Gap, Slice Of Life","9.1","Penggemar IU (pemeran wanita utama) merasa keberatan ketika tahu idolanya dipasangkan dengan Lee Sun-kyun yang sudah berusia 43 tahun. Mereka membanjiri Instagram IU untuk menyatakan penolakan mereka, namun IU sama sekali tidak bergeming."
"5","Prison Playbook","2017","16","tvN,  Netflix, Disney+, Viu, Vidio, iQIYI, Amazon ","15+","Menceritakan kisah atlet baseball terkenal bernama Je Hyeok (Park Hae Soo) yang dipenjara karena tuduhan percobaan pembunuhan pada pria yang mencoba melecehkan adiknya. Ia dijatuhi hukuman 1 tahun penjara dan sejak itu hidupnya berubah drastis.

Di penjara Je Hyeok bertemu dengan teman lamanya pemain bisbol, Lee Joon Ho, yang kini menjadi seroang sipir penjara. Secara keseluruhan, drama ini berkisah tentang Je Hyuk selama di penjara, serta tahanan yang dia temui dan peristiwa yang terjadi di sana.","Comedy,  Life,  Drama ","Prison, Bromance, Wrongfully Accused, Life Lesson, Slice Of Life, Slight Romance, Strong Male Lead, Character Development, Baseball, Gangster","9.1","Latar tempat utama di drama ini adalah penjara sungguhan, yaitu Jangheung Prison Set. Penjara tersebut beroperasi sejak tahun 1975 dan ditutup pada tahun 2015. Kemudian, pada tahun 2016 dialihfungsikan menjadi tempat syuting."
"6","It's Okay to Not Be ","2020","16","tvN,  Netflix","15+","Mengisahkan tentang orang-orang yang haus cinta dan kasih sayang namun mengalami trauma dalam hidupnya. Kemudian saling bertemu dan menumbuhkan rasa satu sama lain dan berakhir dengan saling dukung serta saling cinta.

Moon Gang Tae adalah seorang pekerja kesehatan komunitas di bangsal psikiatri yang diberkati dengan segala sesuatu termasuk tubuh yang besar, kecerdasan, kemampuan untuk bersimpati dengan orang lain, kesabaran, kemampuan untuk bereaksi dengan cepat, stamina, dan banyak lagi. Sementara itu, Ko Moon Young adalah seorang penulis sastra anak populer yang menderita gangguan kepribadian antisosial, tampak sangat egois, arogan, dan kasar.","Psychological,  Comedy,  Romance,  Drama,  Family ","Sibling Relationship, Melodrama, Mental Health, Independent Female Lead, Emotionally Wounded, Successful Female Lead, Healing, Caregiver, Childhood Connection, Psychiatry","9","Drama ini merupakan comebacknya Kim Soo Hyun setelah absen menjadi pemeran utama selama 5 tahun. Untuk mendapatkan peran Kim Soo Hyun sebagai Kang Moon Tae di drama ini tvN berani membayarnya lebih dari 200 juta won atau sekitar 2,3 milyar rupiah per episodenya."
"7","Reply 1988","2015","20","tvN, Netflix, Viu, Vidio, iQIYI, Amazon Prime Vide","15+","Drama ini bercerita tentang 5 orang sahabat yang hidup dalam satu gang yang sama bernama Ssangmundong di tahun 1988. Mereka adalah siswa SMA yang sedang menapaki jalan mewujudkan mimpi menuju masa depan. Tidak hanya menyoroti persahabatan mereka berlima, drama ini juga menonjolkan kehangatan hidup bertetangga yang saling membantu satu sama lain saat suka dan duka.","Comedy,  Romance,  Youth,  Family ","Slice Of Life, Neighbors, Childhood Friends, Multiple Couples, Love Triangle, Best Friends, High School, Coming Of Age, Bromance, Nostalgia","9","Latar belakang tahun dari drama ini berlatar tahun 80-an, yang merupakan tahun ketika Korea Selatan sebagai negara berkembang sedang bergerak menuju kemajuan dan modernitas.

Fakta menarik lainnya, Reply 1988 beserta para pemainnya berhasil mendapatkan banyak sekali penghargaan yang terhitung besar untuk ukuran acara award."
"8","Signal","2016","16","tvN, Vidio, Disney+","15+","Menceritakan kerja sama detektif di zaman dahulu dan zaman sekarang dalam memecahkan kasus pemerkosaan dan pembunuhan melalui walkie-talkie. 

Lima belas tahun yang lalu, seorang gadis muda diculik dalam perjalanan dari sekolah, dan Park Hae Yeong, yang merupakan siswa sekolah dasar pada waktu itu, menyaksikan kejahatan itu. Beberapa hari kemudian, gadis itu ditemukan tewas, dan polisi tidak dapat menemukan pelakunya. Seiring berjalannya waktu, Hae Yeong mulai tidak mempercayai polisi.","Thriller,  Mystery,  Crime,  Drama,  Supernatural ","Different Timelines, Hwaseong Serial Murders, Murder, Criminal Profiler, Serial Killer, Tragic Past, Smart Female Lead, Corruption, Time Altering, Kidnapping","9","Pada 2016, Signal dinobatkan sebagai drama terbaik sepanjang sejarah pertelevisian kabel Korea. Signal juga berhasil mencapai rating 12,54 persen.

Signal juga berhasil memenangkan penghargaan Best Drama serta Best Screenplay dalam BaekSang Arts Awards di tahun yang sama."
"9","Navillera","2021","12","tvN,  Netflix","15+","Drama mengharukan yang diangkat dari Webtoon ini bercerita tentang seorang pria bernama Duk Chool (Park In Hwan) yang memulai balet pada usia 70 dan seorang balerino muda bernama Chae Rok (Song Kang) yang kehilangan mimpinya pada usia 23.","Friendship,  Life,  Drama,  Family ","Ballet, Unusual Friendship, Dream, Life Lesson, Old-Young Generation, Ballet Dancer, Personal Growth, Adapted From A Webtoon, Father-Son Relationship, Talented Lead","9","Demi peran Lee Chae Rok, Song Kang berlatih balet selama sekitar 6 bulan penuh."
"10","Mr. Queen","2020","20","tvN, Viu, Vidio","15+","Mengisahkan tentang pertukaran tubuh yang terjadi antara Jang Bong Hwan (seorang koki di istana negara Korea Selatan (Blue House)) dan Kim So-Yong (seorang Ratu pada era Dinasti Joseon, dinasti yang berperan dalam pembangunan Korea Selatan yang lebih modern). 

Meski bercerita tentang sejarah dan dipenuhi intrik politik, drama Mr. Queen dipenuhi dengan adegan komedi romantis yang dapat membuat penonton terhibur.","Historical,  Comedy,  Romance,  Drama,  Fantasy ","Smart Male Lead, Transmigration, Calm Male Lead, Joseon Dynasty, King/Emperor, Body Swap, Time Travel, Gender Swap, Palace, Power Struggle","9","Pada penayangan episode terakhirnya, Mr. Queen berhasil mencapai rating ketujuh tertinggi dalam sejarah, setelah drama Crash Landing on You, Goblin, Reply 1988, dan Mr. Sunshine ​."
